Data;ISPB;Nome;NaturezaUsuario;TipoChave;qtdChaves
30/04/2023;66262643;CCLA DE POMPEU LTDA;PJ;e-mail;97
30/06/2023;16501555;STONE IP SA;PF;e-mail;126633
31/05/2023;40867163;N26 SCD;PF;Aleatoria;95322
31/01/2023;40867163;N26 SCD;PF;Celular;5548
30/06/2023;24799033;CCLA VALE DO PARANAAçBA;PF;Celular;2450
31/05/2023;5494591;COOP CRESOL NASCENTE;PJ;Celular;135
30/04/2023;694389;CCLA SICOOB CREDICARU SC/RS;PJ;CNPJ;1874
28/02/2023;82527557;COOP SICREDI FRONTEIR PR/SC/SP;PF;Aleatoria;9356
30/04/2023;41805003;CCLA ALTO SAO FRANCISCO;PJ;CNPJ;1143
31/07/2023;3793242;COOP SICREDI SUL SC;PJ;Celular;1131
31/03/2023;5856736;SICOOB EMPRESARIAL;PJ;CNPJ;2194
31/03/2023;9488496;COOP CRESOL SAO JOAO DO SUL;PJ;e-mail;40
31/08/2023;24830879;CCLA VALE DO ARAGUAIA;PF;Aleatoria;953
31/05/2023;42873828;CC AGROCREDI LTDA;PF;CPF;19904
31/01/2023;66259110;CC CREDIBAM LTDA;PJ;Aleatoria;80
30/06/2023;71328769;SICOOB COCRED CC;PJ;Aleatoria;2193
30/06/2023;2232383;CCLA CIRCUITO CAMPOS VERTENTES;PJ;Celular;909
31/08/2023;16501555;STONE IP SA;PF;Celular;128621
31/01/2023;2179673;CECM MAD OURINHOS;PJ;Aleatoria;57
31/08/2023;804046;COOP CREDICAPI LTDA - SICOOB CREDICAPI;PJ;CNPJ;403
31/08/2023;1727929;CC UNICRED EVOLUCAO LTDA;PF;e-mail;1185
28/02/2023;1090027;CECMM CATEG AFINS-UNICRED MULTIPLO VALOR;PJ;CNPJ;170
31/05/2023;2015588;CCLA DO CENTRO SUL RONDONIENSE;PF;Celular;21052
30/06/2023;24830879;CCLA VALE DO ARAGUAIA;PF;CPF;2142
31/05/2023;32074986;BEETELLER;PJ;Aleatoria;10
30/04/2023;966246;CC CREDICERIPA;PF;Celular;4650
31/03/2023;2072790;CECM SICOOB CREDSAUDE;PJ;Aleatoria;19
31/03/2023;64480833;CCLA MARTINHO CAMPOS;PF;Celular;845
31/03/2023;35210410;ONEKEY PAYMENTS;PF;e-mail;9
31/03/2023;11703662;TRAVELEX BANCO DE CAMBIO SA;PJ;e-mail;1
31/07/2023;74064502;CC UNICRED VALOR CAPITAL LTDA - UNICRED VALOR CAPITAL;PF;Celular;4740
28/02/2023;4833655;CECM SICOOB METALCRED;PJ;Aleatoria;97
31/07/2023;31752308;PHI PAGAMENTOS;PF;Celular;1803
31/08/2023;35810871;Z1 IP LTDA;PF;e-mail;219065
30/04/2023;84974278;COOP SICREDI IGUACU PR/SC/SP;PF;Aleatoria;7090
30/04/2023;3612764;COOP FRONTEIRAS;PJ;Celular;802
31/01/2023;14388334;PARANA BCO SA;PF;CPF;69
31/05/2023;3793242;COOP SICREDI SUL SC;PJ;Aleatoria;3047
28/02/2023;2466552;CC SICOOB VALE SUL;PJ;Celular;1913
